"JB71 B,BOX CONTROL",,,,,,,
,,,,,,,
Project #,ANG06,,,,,,
Project Name,STOCK 6,,,,,,
Revision,A.6_M.2,,,,,,
,,,,,,,
Controls DE,Poovarasan M,,,,,,
Phone:,,,,,,,
Controls ME,,,,,,,
Phone:,,,,,,,
,,,,,,,
From,,,,,,To,
Device ID,Wire No.,Wire ID,Gauge/Size,Length,Device ID,To Location,Bundle Name
EL,,,,,,,
,,,,,,,
EL0100:2-,"-0V",WHT,16,120.0,XT0005:4,"JB71 B,PNL DC PWR",EL0100
EL0100:1+,FU0005,WHT,16,120.0,XT0005:2,"JB71 B,PNL DC PWR",
,,,,,,,
EL0101:2-,"-0V",WHT,16,120.0,XT0005:3,"JB71 B,PNL DC PWR",EL0101
EL0101:1+,FU0005,WHT,16,120.0,XT0005:1,"JB71 B,PNL DC PWR",
